time_period,index,Norm_Ret_F6M,Rank_F6M
2002_1,2002_1_w4u2nu2c,-0.272336499,251
2002_1,2002_1_rhsrmfwd,-0.423777949,265
2002_1,2002_1_35pkv5ta,0.76159919,64
2002_1,2002_1_0h249cd2,0.145029361,181
2002_1,2002_1_dj5a9myf,-0.425536574,266
2002_1,2002_1_sics4eoi,-0.316001094,257
2002_1,2002_1_r09kym3q,1.080604527,37
2002_1,2002_1_puj68tx7,0.801550011,59
2002_1,2002_1_anzf1pqr,-1.071405759,331
2002_1,2002_1_ctq9bf3n,-0.147883411,225
2002_1,2002_1_nhnky5dw,0.636967133,77
2002_1,2002_1_gvjn99k9,0.468278957,104
2002_1,2002_1_48gr2qqz,0.043817939,198
2002_1,2002_1_26zl99q8,0.034733334,201
2002_1,2002_1_y4jpv058,-0.535935835,282
2002_1,2002_1_bmj5pyr2,0.138040815,185
2002_1,2002_1_bey888qg,0.313483907,144
2002_1,2002_1_66rt3kk1,0.332821032,139
2002_1,2002_1_jylqq356,1.2406471,29
2002_1,2002_1_mb4bbkro,-2.933108409,372
2002_1,2002_1_akzqvhtj,-2.569949191,370
2002_1,2002_1_xuqzcmg6,0.149489125,180
2002_1,2002_1_6exl9g8r,-0.099191128,217
2002_1,2002_1_nfgewm0q,1.24543583,28
2002_1,2002_1_lrku7ba5,0.171609072,172
2002_1,2002_1_qiz328wk,-1.348742134,346
2002_1,2002_1_i3byayt5,0.394891466,120
2002_1,2002_1_ix7dtkci,0.205338363,168
2002_1,2002_1_ybsk63km,-1.181564443,339
2002_1,2002_1_2jjm3qul,2.027131724,11
2002_1,2002_1_898xs8mc,-0.252119514,245
2002_1,2002_1_aa4hb0cp,0.514135708,95
2002_1,2002_1_yxiqeklj,-0.893062197,320
2002_1,2002_1_rjhevkn0,0.403944293,118
2002_1,2002_1_lfebmrax,0.393641299,121
2002_1,2002_1_ibw3y03x,-0.730995067,304
2002_1,2002_1_uqxcby89,-0.824149789,314
2002_1,2002_1_al394i7q,-0.844985792,317
2002_1,2002_1_qyqn8cz0,0.26048866,152
2002_1,2002_1_wl6prwu7,-0.038783127,210
2002_1,2002_1_3avq5rlt,-0.26051536,247
2002_1,2002_1_1a04o8hg,-1.00074581,326
2002_1,2002_1_bms3p9f2,0.338217648,135
2002_1,2002_1_4tbxobt3,-0.203709385,238
2002_1,2002_1_rlpacxpj,-0.171400429,232
2002_1,2002_1_juj8v3bd,0.68802431,73
2002_1,2002_1_8ndu1gzw,-1.352506478,347
2002_1,2002_1_tql84leh,0.041751375,200
2002_1,2002_1_x2f5uld3,-1.997523395,363
2002_1,2002_1_kebshzn8,0.773641828,61
2002_1,2002_1_5wxeyxlt,-1.559104029,353
2002_1,2002_1_kqz7de21,3.018785238,4
2002_1,2002_1_mzrk5sg0,-0.889145715,319
2002_1,2002_1_gj40grga,0.593396447,82
2002_1,2002_1_86mbcmki,0.331062692,140
2002_1,2002_1_yh26t0ul,0.67354932,74
2002_1,2002_1_a7gylt7e,0.433191413,111
2002_1,2002_1_tfrpjpep,-0.483734531,276
2002_1,2002_1_i9z0uyxs,0.959618453,48
2002_1,2002_1_eqhebr2f,0.227433095,161
2002_1,2002_1_vx82dkt2,0.955432613,49
2002_1,2002_1_ct9e5mfm,0.832309043,58
2002_1,2002_1_3gvsvvld,-1.856185134,359
2002_1,2002_1_a7ovmgds,0.348795423,130
2002_1,2002_1_cd1rk2m2,-0.542382146,284
2002_1,2002_1_7qve8p3l,-1.122843138,336
2002_1,2002_1_dkumhoaa,-1.095891979,332
2002_1,2002_1_6kp0ewg5,0.696791272,70
2002_1,2002_1_loi5s4wz,0.074379878,194
2002_1,2002_1_w9c9nu9m,-3.249091918,375
2002_1,2002_1_4moa9s7d,-1.309494298,343
2002_1,2002_1_yp6wnzlc,0.156725764,177
2002_1,2002_1_pmfuj6eb,0.57460974,89
2002_1,2002_1_quomieyz,-1.55517161,352
2002_1,2002_1_0xtj0lyt,1.201279237,31
2002_1,2002_1_uhyw7oym,0.255820717,154
2002_1,2002_1_j2zdjsu7,0.33713137,137
2002_1,2002_1_rgggeqzi,1.478152681,20
2002_1,2002_1_6n5pawrg,-0.458764257,271
2002_1,2002_1_gs7qwnhq,0.151079057,179
2002_1,2002_1_hhpnxcz6,-0.576337503,288
